Wavelength (Angstroms), Normalized intensity, Element
7759.26, 9573, 
7759.362, 9524, 
7759.462, 9596, 
7759.564, 9691, 
7759.666, 9712, 
7759.768, 9777, 
7759.868, 9795, 
7759.97, 9796, 
7760.072, 9783, 
7760.174, 9787, 
7760.274, 9765, 
7760.376, 9745, 
7760.478, 9651, 
7760.578, 9366, 
7760.68, 9088, 
7760.782, 9626, 
7760.884, 9773, 
7760.984, 9769, 
7761.086, 9784, 
7761.188, 9797, 
7761.29, 9800, 
7761.39, 9838, 
7761.492, 9847, 
7761.594, 9828, 
7761.694, 9867, 
7761.796, 9885, 
7761.898, 9891, 
7762.0, 9871, 
7762.1, 9875, 
7762.202, 9884, 
7762.304, 9883, 
7762.404, 9885, 
7762.506, 9893, 
7762.608, 9889, 
7762.71, 9895, 
7762.81, 9895, 
7762.912, 9883, 
7763.014, 9854, 
7763.116, 9879, 
7763.216, 9886, 
7763.318, 9871, 
7763.42, 9868, 
7763.52, 9864, 
7763.622, 9885, 
7763.724, 9880, 
7763.826, 9876, 
7763.926, 9882, 
7764.028, 9876, 
7764.13, 9883, 
7764.232, 9884, 
7764.332, 9890, 
7764.434, 9803, 
7764.536, 9788, 
7764.636, 9602, 
7764.738, 9754, 
7764.84, 9848, 
7764.942, 9865, 
7765.042, 9882, 
7765.144, 9858, 
7765.246, 9822, 
7765.348, 9843, 
7765.448, 9826, 
7765.55, 9840, 
7765.652, 9878, 
7765.752, 9846, 
7765.854, 9839, 
7765.956, 9883, 
7766.058, 9884, 
7766.158, 9868, 
7766.26, 9863, 
7766.362, 9873, 
7766.462, 9890, 
7766.564, 9875, 
7766.666, 9850, 
7766.768, 9867, 
7766.868, 9874, 
7766.97, 9874, 
7767.072, 9888, 
7767.174, 9885, 
7767.274, 9884, 
7767.376, 9870, 
7767.478, 9828, 
7767.578, 9877, 
7767.68, 9887, 
7767.782, 9885, 
7767.884, 9882, 
7767.984, 9877, 
7768.086, 9881, 
7768.188, 9856, 
7768.29, 9826, 
7768.39, 9854, 
7768.492, 9859, 
7768.594, 9865, 
7768.694, 9872, 
7768.796, 9875, 
7768.898, 9875, 
7769.0, 9883, 
7769.1, 9843, 
7769.202, 9877, 
7769.304, 9888, 
7769.404, 9879, 
7769.506, 9852, 
7769.608, 9827, 
7769.71, 9868, 
7769.81, 9895, 
7769.912, 9889, 
7770.014, 9876, 
7770.116, 9866, 
7770.216, 9860, 
7770.318, 9840, 
7770.42, 9886, 
7770.52, 9881, 
7770.622, 9880, 
7770.724, 9850, 
7770.826, 9843, 
7770.926, 9864, 
7771.028, 9864, 
7771.13, 9871, 
7771.232, 9871, 
7771.332, 9845, 
7771.434, 9836, 
7771.536, 9831, 
7771.636, 9742, 
7771.738, 9515, 
7771.84, 8381, 
7771.942, 6627, 
7772.042, 7765, 
7772.144, 9403, 
7772.246, 9764, 
7772.348, 9836, 
7772.448, 9866, 
7772.55, 9793, 
7772.652, 9798, 
7772.752, 9856, 
7772.854, 9818, 
7772.956, 9821, 
7773.058, 9837, 
7773.158, 9876, 
7773.26, 9887, 
7773.362, 9879, 
7773.462, 9880, 
7773.564, 9872, 
7773.666, 9866, 
7773.768, 9856, 
7773.868, 9804, 
7773.97, 9546, 
7774.072, 8261, 
7774.174, 6916, 
7774.274, 8434, 
7774.376, 9582, 
7774.478, 9817, 
7774.578, 9865, 
7774.68, 9873, 
7774.782, 9868, 
7774.884, 9852, 
7774.984, 9824, 
7775.086, 9811, 
7775.188, 9628, 
7775.29, 8596, 
7775.39, 7413, 
7775.492, 8663, 
7775.594, 9645, 
7775.694, 9823, 
7775.796, 9848, 
7775.898, 9860, 
7776.0, 9865, 
7776.1, 9867, 
7776.202, 9892, 
7776.304, 9870, 
7776.404, 9857, 
7776.506, 9855, 
7776.608, 9859, 
7776.71, 9811, 
7776.81, 9874, 
7776.912, 9848, 
7777.014, 9829, 
7777.116, 9767, 
7777.216, 9821, 
7777.318, 9861, 
7777.42, 9860, 
7777.52, 9825, 
7777.622, 9872, 
7777.724, 9883, 
7777.826, 9865, 
7777.926, 9810, 
7778.028, 9860, 
7778.13, 9876, 
7778.232, 9880, 
7778.332, 9882, 
7778.434, 9877, 
7778.536, 9879, 
7778.636, 9890, 
7778.738, 9883, 
7778.84, 9816, 
7778.942, 9852, 
7779.042, 9807, 
7779.144, 9859, 
7779.246, 9880, 
7779.348, 9869, 
7779.448, 9855, 
7779.55, 9854, 
7779.652, 9851, 
7779.752, 9842, 
7779.854, 9847, 
7779.956, 9818, 
7780.058, 9803, 
7780.158, 9720, 
7780.26, 9551, 
7780.362, 9099, 
7780.462, 7243, 
7780.564, 3884, 
7780.666, 7495, 
7780.768, 9136, 
7780.868, 9560, 
7780.97, 9704, 
7781.072, 9774, 
7781.174, 9799, 
7781.274, 9805, 
7781.376, 9849, 
7781.478, 9848, 
7781.578, 9861, 
7781.68, 9796, 
7781.782, 9856, 
7781.884, 9870, 
7781.984, 9893, 
7782.086, 9874, 
7782.188, 9869, 
7782.29, 9890, 
7782.39, 9867, 
7782.492, 9857, 
7782.594, 9866, 
7782.694, 9868, 
7782.796, 9864, 
7782.898, 9876, 
7783.0, 9883, 
7783.1, 9889, 
7783.202, 9884, 
7783.304, 9881, 
7783.404, 9885, 
7783.506, 9879, 
7783.608, 9858, 
7783.71, 9843, 
