Wavelength (Angstroms), Normalized intensity, Element
6495.61, 9662, 
6496.61, 9486, 
6497.61, 9833, 
6498.61, 9860, 
6499.61, 5415, 
6500.61, 9895, 
6501.61, 9394, 
6502.61, 9869, 
6503.61, 9841, 
6504.61, 9870, 
6505.61, 9864, 
6506.61, 9836, 
6507.61, 9867, 
6508.61, 9834, 
6509.61, 9545, 
6510.61, 9891, 
6511.61, 9874, 
6512.61, 9828, 
6513.61, 9844, 
6514.61, 9861, 
6515.61, 9840, 
6516.61, 9697, 
6517.61, 9877, 
6518.61, 9723, 
6519.61, 9869, 
6520.61, 9879, 
6521.61, 9888, 
6522.61, 9842, 
6523.61, 9822, 
6524.61, 9894, 
6525.61, 9895, 
6526.61, 8695, 
6527.61, 9764, 
6528.61, 9578, 
6529.61, 9855, 
6530.61, 9826, 
6531.61, 9874, 
6532.61, 9834, 
6533.61, 9862, 
6534.61, 9854, 
6535.61, 9837, 
6536.61, 9795, 
6537.61, 9872, 
6538.61, 9678, 
6539.61, 9874, 
6540.61, 9858, 
6541.61, 9855, 
6542.61, 9859, 
6543.61, 9819, 
6544.61, 9818, 
6545.61, 9749, 
6546.61, 9730, 
6547.61, 9648, 
6548.61, 8917, 
6549.61, 9702, 
6550.61, 9637, 
6551.61, 9517, 
6552.61, 8860, 
6553.61, 9455, 
6554.61, 9317, 
6555.61, 8910, 
6556.61, 9043, 
6557.61, 8854, 
6558.61, 8573, 
6559.61, 7398, 
6560.61, 6950, 
6561.61, 6853, 
6562.61, 1839, 
6562.81, 1605, Hα  C 
6563.81, 6520, 
6564.81, 7542, 
6565.81, 8087, 
6566.81, 8435, 
6567.81, 8683, 
6568.81, 8850, 
6569.81, 9044, 
6570.81, 8957, 
6571.81, 9340, 
6572.81, 7353, 
6573.81, 9516, 
6574.81, 9426, 
6575.81, 9644, 
6576.81, 9672, 
6577.81, 9717, 
6578.81, 9699, 
6579.81, 9756, 
6580.81, 9714, 
6581.81, 9812, 
6582.81, 9836, 
6583.81, 9671, 
6584.81, 9854, 
6585.81, 9876, 
6586.81, 9821, 
6587.81, 9771, 
6588.81, 9907, 
6589.81, 9879, 
6590.81, 9876, 
6591.81, 9868, 
6592.81, 8452, 
6593.81, 7300, 
6594.81, 9854, 
6595.81, 9678, 
6596.81, 9869, 
6597.81, 9865, 
6598.81, 9883, 
6599.81, 9859, 
6600.81, 9842, 
6601.81, 9881, 
6602.81, 9886, 
6603.81, 9884, 
6604.81, 9852, 
6605.81, 9734, 
6606.81, 9860, 
6607.81, 9850, 
6608.81, 9873, 
6609.81, 9802, 
6610.81, 9795, 
6611.81, 9881, 
6612.81, 9889, 
6613.81, 9310, 
6614.81, 9879, 
6615.81, 9895, 
6616.81, 9817, 
6617.81, 9753, 
6618.81, 9887, 
6619.81, 9872, 
6620.81, 9889, 
6621.81, 9899, 
6622.81, 9891, 
6623.81, 9747, 
6624.81, 9712, 
6625.81, 9888, 
6626.81, 9886, 
6627.81, 9878, 
6628.81, 9847, 
6629.81, 9866, 
6630.81, 9838, 
6631.81, 9737, 
6632.81, 9871, 
6633.81, 7245, 
6634.81, 9831, 
6635.81, 9767, 
6636.81, 9856, 
6637.81, 9830, 
6638.81, 9877, 
6639.81, 9492, 
6640.81, 9877, 
6641.81, 9895, 
6642.81, 9869, 
6643.81, 9753, 
6644.81, 9887, 
6645.81, 9899, 
